# 3D Probability Density Data
# T_start=0, T_end=100, Nx=100, Nt=100
# Column 1: Time (t)
# Column 2: Position (x)
# Column 3: Density |Psi|^2
# --------------------------------------------------
0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	5.050505e-02	5.335237e-07
0.000000e+00	1.010101e-01	3.048550e-06
0.000000e+00	1.515152e-01	1.146569e-05
0.000000e+00	2.020202e-01	3.748513e-05
0.000000e+00	2.525253e-01	1.130475e-04
0.000000e+00	3.030303e-01	3.190651e-04
0.000000e+00	3.535354e-01	8.446956e-04
0.000000e+00	4.040404e-01	2.094472e-03
0.000000e+00	4.545455e-01	4.849603e-03
0.000000e+00	5.050505e-01	1.044570e-02
0.000000e+00	5.555556e-01	2.083494e-02
0.000000e+00	6.060606e-01	3.827720e-02
0.000000e+00	6.565657e-01	6.435796e-02
0.000000e+00	7.070707e-01	9.826774e-02
0.000000e+00	7.575758e-01	1.349575e-01
0.000000e+00	8.080808e-01	1.646968e-01
0.000000e+00	8.585859e-01	1.758175e-01
0.000000e+00	9.090909e-01	1.608582e-01
0.000000e+00	9.595960e-01	1.229015e-01
0.000000e+00	1.010101e+00	7.629437e-02
0.000000e+00	1.060606e+00	3.851310e-02
0.000000e+00	1.111111e+00	1.867412e-02
0.000000e+00	1.161616e+00	1.579269e-02
0.000000e+00	1.212121e+00	3.456051e-02
0.000000e+00	1.262626e+00	1.064542e-01
0.000000e+00	1.313131e+00	2.879876e-01
0.000000e+00	1.363636e+00	6.204585e-01
0.000000e+00	1.414141e+00	1.074893e+00
0.000000e+00	1.464646e+00	1.533695e+00
0.000000e+00	1.515152e+00	1.839222e+00
0.000000e+00	1.565657e+00	1.881420e+00
0.000000e+00	1.616162e+00	1.658900e+00
0.000000e+00	1.666667e+00	1.269909e+00
0.000000e+00	1.717172e+00	8.481650e-01
0.000000e+00	1.767677e+00	4.958647e-01
0.000000e+00	1.818182e+00	2.542814e-01
0.000000e+00	1.868687e+00	1.145083e-01
0.000000e+00	1.919192e+00	4.530402e-02
0.000000e+00	1.969697e+00	1.574681e-02
0.000000e+00	2.020202e+00	4.806232e-03
0.000000e+00	2.070707e+00	1.287161e-03
0.000000e+00	2.121212e+00	3.021503e-04
0.000000e+00	2.171717e+00	6.209112e-05
0.000000e+00	2.222222e+00	1.115399e-05
